Aliment,Energie (kJ/100 g),Energie(kcal/100 g),Eau (g/100 g),Protéines (g/100 g),Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fructose (g/100 g),Galactose (g/100 g),Glucose (g/100 g),Lactose (g/100 g),Maltose (g/100 g),Saccharose (g/100 g),Autres sucres,Amidon (g/100 g),Fibres alimentaires (g/100 g),Polyols totaux (g/100 g),Cendres (g/100 g),Alcool (g/100 g),Acides organiques (g/100 g),AG saturés (g/100 g),AG monoinsaturés (g/100 g),AG polyinsaturés (g/100 g),AG butyrique (g/100 g),AG caproïque (g/100 g),AG  caprylique (g/100 g),AG caprique (g/100 g),AG laurique (g/100 g),AG  myristique (g/100 g),AG  palmitique (g/100 g),AG stéarique (g/100 g),AG oléique (g/100 g),AG linoléique (g/100 g),AG alphalinolénique (g/100 g),AG arachidonique (g/100 g),AG EPA (g/100 g),AG  DHA (g/100 g),Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Calcium (mg/100 g),Chlorure (mg/100 g),Cuivre (mg/100 g),Fer (mg/100 g),Iode (µg/100 g),Magnésium (mg/100 g),Manganèse (mg/100 g),Phosphore (mg/100 g),Potassium (mg/100 g),Sélénium (µg/100 g),Sodium (mg/100 g),Zinc (mg/100 g),Rétinol (µg/100 g),BetaCarotène (µg/100 g),Vitamine D (µg/100 g),Vitamine E (mg/100 g),Vitamine K (µg/100 g),Vitamine C (mg/100 g),Vitamine B1 ou Thiamine (mg/100 g),Vitamine B2 ou Riboflavine (mg/100 g),Vitamine B3 ou Niacine (mg/100 g),Vitamine B5 ou Acide pantothénique (mg/100 g),Vitamine B6 (mg/100 g),Vitamine B9 ou Folates totaux (µg/100 g),Vitamine B12 (µg/100 g)
COUSCOUS SEC,1465,350,23.20,13.44,73.98,1.50,,,,,,,,67.92,,3.85,,0.94,,,0.35,0.24,0.85,,,,,,,,,,,,,,,0.00,,30.00,,0.24,1.85,,44 .00,,220 .00,243.34,,9.56,0.82,26.16,156.98,0.00,0.26,,0.32,0.29,0.10,3.89,1.24,0.11,20.00,0.00
FARINE BLANCHE,1523,364,12.00,11 .00,74.70,1.20,,,,,,,,73.60,,0.30,,0.60,,,,,,,,,,,,,,,,,,,,,,16.00,,,1.70,,,,112.00,,,2.00,,,,0.00,,,0.00,0.18,0.06,1.30,,,,
FARINE D'ORGE,1590,380,6.88,12 .00,76.00,4.00,,0.00,,0.00,,0.00,0.00,60.00,,16.00,,1.12,,,0.00,,,,,,,,,,,,,,,,,0.00,,0.00,,n.d .,2.88,n.d .,n.d .,n.d .,n.d .,500.00,n.d .,0.00,n.d .,0.00,0.00,,,,0.00,0.24,0.14,3.20,,,,
MAïs GRAINES SÈCHES,1527,365,10.37,9.42,74.26,4.74,,,,,,,,66.32,,7.30,,1.20,,,0.67,1.25,2. 16,,,,,,,,,,,0.07,2.10,,,0.00,,7.00,,0.31,2.71,,127.00,0.49,210 .00,287.00,15.50,35.00,2.21,22.00,97.00,,0.49,0.30,0.00,0.39,0.20,3.63,0.42,0.62,19.00,0.00
ORGE PERLÉ CRU,1473,352,10.09,9.91,77.72,1.16,,,,,,,,61.32,,15.60,,1.11,,,0.24,0.15,0.56,,,,,,,,,,,0.06,0.51,,,0.00,,29.00,,0.42,2.50,,79.00 ,1.32,221.00,280 .00,37 .70,9.00,2.13,2.00,13.00,,0.02,2.20,0.00,0.19,0.11,0.00,0.28,0.26,23.00,0.00
PAIN AU CHOCOLAT,1747,418,21.01,8.4 1,44 .05,24.43,,,,,,,,,,3.88,,2.24,,,13.81,6.98,1.35,,,,,,,,,,,0.28,1. 07,,,0.00,,40.70,,0.29,2.46,,45.40,,136.20,189.50,,67 1.00,1.08,124.30,,,0.51,,0. 18,0.36,0.23,2.0 8,,0.06,25.90,0.27
PAIN DE MIE,1126,269,0.00,7.69,50.00,3.85,,,,,,,,46.15,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,0.00,,76.92,,,2.77,,,,,,,576 .92,,0.00,0.00,,,,0.00,0.46,0.26,3.08,,,92.31,
PAIN BAGUETTE,1146,274,34.30,8.80,51.90,3.00,,,,,,,,48.66,,3.00,,2.00,,,0.64,1.22,0.69,,,,,,,,,,,0.03,0.66,,,0.00,,75.00,,0.19,2.53,5.42,27.00,0.51,105.00,113.00,31.50,609.00,0.87,0.00,0.00,,0.30,1.00,0.00,0.52,0.33,4.75,0.39,0.04,148.00,0.00
PAIN COMPLET,1046,250,37.70,10.00,46.40,3.80,,,,,,,,29.95,,6.40,,2.20,,,0.81,1.52,0.92,,,,,,,,,,,0.06,0.87,,,0.00,,91.00,,0.25,3.47,,53.00,1.49,176.00,204.00,29.50,487 .00,1.27,0.00,0.00,,0.34,2.20,0.30,0.41,0.34,4.37,0.51,0.33,118.00,0.07
PAIN MBASSESS,1277,305,32.59, 8.36,49 .31,7.85,,0.00,,0.00,,0.00,0.00,46.23,,2.85,,1.90,,,1.33,2. 18,3.55,,,,,,,,,,,0.37,3. 18,,,0.00,,7 1.25,,0.18,2.40,5.15,25.65,0.48,99.75,107.35,29.93,578 .55,0.83,0.00,0.00,0.00,1.19,10.60,0.00,0.49,0.3 1,4.51,0.37,0.04,140.60,0.00
