;aliment;mode;Energie kJ/100g;Energie kcal/100g;Eau;Prot�ines;Glucides
3eja;Avocat;cru;843;205;70.3;1.56;0.83
3eja;Blette;cru;68.3;16.4;95.4;1;1.63
3eja;Carotte;cru;169;40.2;88.1;0.63;7.59
3eja;Champignon;cru;91.2;21.7;92.6;2.37;1.88
3eja;Salade ;cru;;1;92.9;1.48;2.4
3eja;Chou rouge;cru;126;30;90.7;1.13;4.33
3eja;Chou-fleur;cru;109;26.2;92.9;1.81;2.13
3eja;Concombre;cru;65.8;15.6;96;0.64;2.54
3eja;Courgette;cru;69.4;16.5;94.7;1.23;1.8
kosksi;Cresson de fontaine;cru;;1;94.6;2.09;0.9
kosksi;C�leri branche;cru;73.4;17.6;93.4;0.63;2.41
kosksi;Endive;cru;84.8;20.2;94.3;1.19;2.83
kosksi;Fenouil;cru;90.9;21.8;92.9;1;2.63
kosksi;Laitue;cru;;1;95.3;1.3;1.33
kosksi;Oignon;cru;;1;89.6;1.1;6.25
kosksi;Poireau;cru;136;32.3;87.6;1.49;4.9
